Time (s),EMG Voltage (V)
0.115,1.431553
0.1151,1.433485
0.1152,1.435418
0.1153,1.438639
0.1154,1.443148
0.1155,1.452811
0.1156,1.462796
0.1157,1.474713
0.1158,1.486309
0.1159,1.500803
0.116,1.514653
0.1161,1.524638
0.1162,1.538166
0.1163,1.551694
0.1164,1.566188
0.1165,1.577139
0.1166,1.588091
0.1167,1.601941
0.1168,1.612892
0.1169,1.627386
0.117,1.646068
0.1171,1.664749
0.1172,1.678921
0.1173,1.69406
0.1174,1.713385
0.1175,1.726269
0.1176,1.744306
0.1177,1.757834
0.1178,1.773295
0.1179,1.786179
0.118,1.801317
0.1181,1.815489
0.1182,1.826763
0.1183,1.831916
0.1184,1.842867
0.1185,1.853174
0.1186,1.859938
0.1187,1.870568
0.1188,1.884096
0.1189,1.893758
0.119,1.9002
0.1191,1.910185
0.1192,1.913728
0.1193,1.923713
0.1194,1.930155
0.1195,1.935631
0.1196,1.938852
0.1197,1.943039
0.1198,1.947226
0.1199,1.950447
0.12,1.959144
0.1201,1.959788
0.1202,1.964297
0.1203,1.973316
0.1204,1.980724
0.1205,1.988454
0.1206,1.99554
0.1207,2.003271
0.1208,2.011001
0.1209,2.013578
0.121,2.017765
0.1211,2.019053
0.1212,2.020342
0.1213,2.021952
0.1214,2.019375
0.1215,2.018731
0.1216,2.016476
0.1217,2.011323
0.1218,2.012611
0.1219,2.007458
0.122,2.001016
0.1221,1.999405
0.1222,1.991675
0.1223,1.987166
0.1224,1.980724
0.1225,1.969451
0.1226,1.959788
0.1227,1.942395
0.1228,1.931121
0.1229,1.91405
0.123,1.896013
0.1231,1.878942
0.1232,1.859616
0.1233,1.840613
0.1234,1.814201
0.1235,1.794553
0.1236,1.76943
0.1237,1.750748
0.1238,1.72788
0.1239,1.701468
0.124,1.677311
0.1241,1.652187
0.1242,1.623521
0.1243,1.594855
0.1244,1.563289
0.1245,1.530114
0.1246,1.497904
0.1247,1.464728
0.1248,1.433807
0.1249,1.404175
0.125,1.376474
0.1251,1.351351
0.1252,1.329771
0.1253,1.302393
0.1254,1.277914
0.1255,1.255689
0.1256,1.23282
0.1257,1.209307
0.1258,1.190948
0.1259,1.165503
0.126,1.144889
0.1261,1.128784
0.1262,1.106559
0.1263,1.089488
0.1264,1.072739
0.1265,1.056635
0.1266,1.042463
0.1267,1.028613
0.1268,1.021204
0.1269,1.012508
0.127,1.007354
0.1271,1.002523
0.1272,0.996403
